SubscriptionID,CustomerID,ProductID,StartDate,EndDate,MonthlyFee,Status
S00326,C0974,P026,2023-11-09,,49.99,Active
S00327,C0363,P009,2025-01-09,,49.99,Active
S00328,C0876,P025,2024-05-24,,19.99,Active
S00329,C0138,P027,2024-02-06,2025-01-20,99.99,Churned
S00330,C0612,P006,2023-07-26,,19.99,Active
S00331,C0878,P005,2023-05-22,2024-01-10,79.99,Churned
S00332,C0202,P013,2023-05-31,,19.99,Active
S00333,C0986,P010,2023-08-06,,149.99,Active
S00334,C0134,P002,2025-04-14,2026-01-02,29.99,Churned
S00335,C0156,P001,2024-09-04,2025-11-23,149.99,Churned
S00336,C0162,P010,2023-08-17,,149.99,Active
S00337,C0083,P016,2023-06-17,2023-11-09,49.99,Churned
S00338,C0636,P029,2023-05-03,,49.99,Active
S00339,C0209,P004,2023-08-22,,79.99,Active
S00340,C0396,P023,2024-08-02,2025-04-09,79.99,Churned
S00341,C0521,P017,2025-10-20,,149.99,Active
S00342,C0158,P010,2023-08-12,2024-07-07,149.99,Churned
S00343,C0691,P004,2024-01-11,,79.99,Active
S00344,C0695,P021,2024-03-30,,49.99,Active
S00345,C0783,P028,2023-01-25,,29.99,Active
S00346,C0232,P012,2023-05-23,,49.99,Active
S00347,C0467,P028,2024-03-28,,29.99,Active
S00348,C0317,P004,2024-10-14,,79.99,Active
S00349,C0917,P020,2024-03-03,,79.99,Active
S00350,C0869,P010,2025-08-16,,149.99,Active
S00351,C0855,P023,2024-06-28,2025-05-29,79.99,Churned
S00352,C0838,P025,2025-06-13,,19.99,Active
S00353,C0019,P005,2023-10-02,,79.99,Active
S00354,C0691,P001,2025-01-22,2025-05-11,149.99,Churned
S00355,C0296,P002,2023-11-10,,29.99,Active
S00356,C0440,P009,2023-10-19,2024-10-06,49.99,Churned
S00357,C0737,P015,2023-04-19,,49.99,Active
S00358,C0724,P003,2025-02-23,,79.99,Active
S00359,C0160,P023,2024-01-01,,79.99,Active
S00360,C0716,P002,2024-09-03,2025-04-08,29.99,Churned
S00361,C0250,P026,2025-03-20,2026-04-28,49.99,Churned
S00362,C0867,P024,2024-03-17,,79.99,Active
S00363,C0765,P030,2025-01-19,,19.99,Active
S00364,C0569,P001,2023-02-19,2023-08-12,149.99,Churned
S00365,C0424,P015,2023-09-29,,49.99,Active
S00366,C0695,P023,2023-04-19,2024-01-08,79.99,Churned
S00367,C0794,P023,2023-01-05,2024-05-07,79.99,Churned
S00368,C0909,P008,2023-01-16,,79.99,Active
S00369,C0660,P009,2025-12-26,,49.99,Active
S00370,C0655,P020,2024-01-01,,79.99,Active
S00371,C0850,P010,2025-07-21,,149.99,Active
S00372,C0657,P014,2023-10-06,,29.99,Active
S00373,C0473,P008,2024-10-07,2025-01-04,79.99,Churned
S00374,C0327,P008,2024-09-29,2026-01-06,79.99,Churned
S00375,C0773,P006,2023-02-14,2023-08-03,19.99,Churned
S00376,C0047,P021,2024-10-09,,49.99,Active
S00377,C0761,P024,2023-01-11,,79.99,Active
S00378,C0149,P007,2025-04-07,,49.99,Active
S00379,C0014,P015,2024-12-01,,49.99,Active
S00380,C0732,P023,2023-08-20,,79.99,Active
S00381,C0066,P030,2023-09-23,,19.99,Active
S00382,C0449,P028,2023-08-30,,29.99,Active
S00383,C0144,P030,2023-07-27,,19.99,Active
S00384,C0303,P001,2024-07-18,,149.99,Active
S00385,C0292,P009,2024-04-11,,49.99,Active
S00386,C0993,P024,2023-02-25,,79.99,Active
S00387,C0508,P006,2024-05-26,,19.99,Active
S00388,C0123,P002,2024-07-10,2025-01-06,29.99,Churned
S00389,C0893,P006,2023-09-29,2024-10-08,19.99,Churned
S00390,C0518,P021,2023-10-12,2025-02-07,49.99,Churned
S00391,C0036,P002,2024-09-07,2025-12-26,29.99,Churned
S00392,C0280,P009,2025-08-07,,49.99,Active
S00393,C0085,P026,2025-10-15,,49.99,Active
S00394,C0079,P005,2024-02-24,2025-02-25,79.99,Churned
S00395,C0145,P018,2025-08-20,,99.99,Active
S00396,C0129,P014,2024-06-03,,29.99,Active
S00397,C0353,P016,2025-11-04,,49.99,Active
S00398,C0932,P021,2025-02-28,,49.99,Active
S00399,C0576,P019,2024-11-09,2025-05-17,19.99,Churned
S00400,C0700,P001,2024-08-08,,149.99,Active
S00401,C0268,P019,2024-01-29,,19.99,Active
S00402,C0434,P006,2024-05-02,2024-12-30,19.99,Churned
S00403,C0969,P001,2025-11-21,2026-08-13,149.99,Churned
S00404,C0611,P023,2023-09-21,,79.99,Active
S00405,C0179,P023,2023-10-11,,79.99,Active
S00406,C0031,P030,2025-07-24,,19.99,Active
S00407,C0864,P021,2023-10-07,,49.99,Active
S00408,C0408,P014,2023-12-05,2025-01-21,29.99,Churned
S00409,C0772,P011,2025-05-09,,79.99,Active
S00410,C0245,P013,2023-04-13,,19.99,Active
S00411,C0551,P001,2025-07-19,,149.99,Active
S00412,C0115,P012,2023-06-25,2023-09-27,49.99,Churned
S00413,C0106,P019,2025-08-10,,19.99,Active
S00414,C0546,P004,2023-12-02,,79.99,Active
S00415,C0011,P013,2023-10-10,,19.99,Active
S00416,C0166,P004,2023-07-19,,79.99,Active
S00417,C0986,P010,2024-03-29,2025-07-15,149.99,Churned
S00418,C0245,P001,2023-10-21,2024-05-17,149.99,Churned
S00419,C0274,P008,2023-01-04,,79.99,Active
S00420,C0618,P001,2023-08-09,,149.99,Active
S00421,C0910,P016,2024-10-03,,49.99,Active
S00422,C0376,P021,2024-12-29,,49.99,Active
S00423,C0678,P019,2025-08-26,,19.99,Active
S00424,C0224,P024,2024-05-11,,79.99,Active
S00425,C0263,P028,2025-02-11,2025-05-05,29.99,Churned
S00426,C0387,P020,2023-01-27,2023-12-14,79.99,Churned
S00427,C0207,P023,2024-01-08,,79.99,Active
S00428,C0094,P003,2023-01-17,,79.99,Active
S00429,C0072,P029,2025-10-05,,49.99,Active
S00430,C0743,P020,2024-10-01,,79.99,Active
S00431,C0990,P016,2024-07-31,,49.99,Active
S00432,C0919,P012,2023-05-27,2024-04-14,49.99,Churned
S00433,C0543,P024,2023-10-03,,79.99,Active
S00434,C0425,P022,2025-08-29,,19.99,Active
S00435,C0826,P026,2025-10-25,,49.99,Active
S00436,C0256,P024,2025-06-05,,79.99,Active
S00437,C0076,P006,2025-09-02,,19.99,Active
S00438,C0845,P008,2023-12-19,,79.99,Active
S00439,C0481,P014,2024-12-06,,29.99,Active
S00440,C0684,P011,2024-04-24,2025-04-04,79.99,Churned
S00441,C0037,P004,2024-05-18,,79.99,Active
S00442,C0142,P027,2024-06-26,2025-05-13,99.99,Churned
S00443,C0544,P007,2023-12-17,2024-07-19,49.99,Churned
S00444,C0803,P027,2024-01-25,,99.99,Active
S00445,C0558,P018,2024-05-11,,99.99,Active
S00446,C0193,P027,2025-08-28,,99.99,Active
S00447,C0819,P001,2023-11-04,,149.99,Active
S00448,C0481,P004,2024-06-30,,79.99,Active
S00449,C0722,P028,2023-09-15,,29.99,Active
S00450,C0481,P030,2023-03-07,,19.99,Active
S00451,C0123,P027,2024-06-27,,99.99,Active
S00452,C0435,P016,2024-10-04,,49.99,Active
S00453,C0606,P005,2023-06-20,2024-09-10,79.99,Churned
S00454,C0312,P003,2024-11-24,,79.99,Active
S00455,C0384,P026,2024-11-18,2025-12-08,49.99,Churned
S00456,C0526,P019,2024-02-01,,19.99,Active
S00457,C0450,P001,2024-02-21,,149.99,Active
S00458,C0071,P004,2023-12-23,,79.99,Active
S00459,C0424,P010,2023-02-08,,149.99,Active
S00460,C0144,P023,2023-03-21,2024-01-29,79.99,Churned
S00461,C0546,P017,2025-04-16,2026-06-25,149.99,Churned
S00462,C0463,P003,2024-11-04,,79.99,Active
S00463,C0978,P028,2024-10-18,2025-06-08,29.99,Churned
S00464,C0332,P009,2024-10-20,,49.99,Active
S00465,C0306,P002,2025-04-19,,29.99,Active
S00466,C0009,P011,2023-04-19,,79.99,Active
S00467,C0088,P016,2025-04-29,,49.99,Active
S00468,C0456,P006,2023-01-19,,19.99,Active
S00469,C0029,P024,2024-10-21,,79.99,Active
S00470,C0910,P026,2023-03-31,2023-10-05,49.99,Churned
S00471,C0886,P009,2024-03-31,,49.99,Active
S00472,C0969,P002,2023-10-20,2024-09-04,29.99,Churned
S00473,C0960,P021,2024-12-26,,49.99,Active
S00474,C0318,P001,2025-07-04,,149.99,Active
S00475,C0487,P025,2023-10-22,,19.99,Active
S00476,C0392,P003,2024-10-03,,79.99,Active
S00477,C0913,P030,2023-03-01,,19.99,Active
S00478,C0517,P025,2024-03-10,,19.99,Active
S00479,C0202,P011,2024-07-06,,79.99,Active
S00480,C0723,P003,2024-02-27,,79.99,Active
S00481,C0294,P002,2024-09-27,,29.99,Active
S00482,C0656,P003,2024-05-13,,79.99,Active
S00483,C0714,P023,2023-09-23,,79.99,Active
S00484,C0847,P024,2023-12-26,,79.99,Active
S00485,C0663,P018,2023-06-07,,99.99,Active
S00486,C0632,P016,2025-04-29,,49.99,Active
S00487,C0115,P017,2025-11-13,,149.99,Active
S00488,C0159,P010,2024-12-31,,149.99,Active
S00489,C0846,P012,2023-01-24,2024-04-17,49.99,Churned
S00490,C0763,P016,2023-04-07,,49.99,Active
S00491,C0951,P026,2025-05-16,,49.99,Active
S00492,C0633,P009,2023-03-28,,49.99,Active
S00493,C0339,P022,2024-07-05,,19.99,Active
S00494,C0771,P020,2024-10-06,,79.99,Active
S00495,C0191,P001,2025-12-01,,149.99,Active
S00496,C0983,P029,2023-12-19,,49.99,Active
S00497,C0490,P024,2024-09-23,,79.99,Active
S00498,C0736,P001,2024-12-11,,149.99,Active
S00499,C0862,P003,2025-03-30,,79.99,Active
S00500,C0583,P019,2023-05-14,2023-11-03,19.99,Churned
